modelfileversion,model,layer,skew,temperature,resistance (ohms)
4x1r1,rrgv1_6000x30000xs0_p,gv1,pcff,125,0.00024165
4x1r1,rrgv1_6000x30000xs0_s,gv1,pcff,125,0.00024165
4x1r1,rrv0gcn_100x44xs2,v0,pcff,-40,9.08559
4x1r1,rrv0gcn_100x44xs2_p,v0,pcff,-40,11.7502
4x1r1,rrv0gcn_100x44xs2_s,v0,pcff,-40,9.90759
4x1r1,rrv0gcn_68x44xs2,v0,pcff,-40,13.3612
4x1r1,rrv0gcn_68x44xs2p,v0,pcff,-40,13.3612
4x1r1,rrv0gcn_68x44xs2_p,v0,pcff,-40,33.5112
4x1r1,rrv0gcn_68x44xs2p_p,v0,pcff,-40,30.1271
4x1r1,rrv0gcn_68x44xs2p_s,v0,pcff,-40,15.3299
4x1r1,rrv0gcn_68x44xs2_s,v0,pcff,-40,14.2519
4x1r1,rrv0gcn_68x44xs3p,v0,pcff,-40,13.3612
4x1r1,rrv0gcn_68x44xs3p_p,v0,pcff,-40,30.1271
4x1r1,rrv0gcn_68x44xs3p_s,v0,pcff,-40,15.3299
4x1r1,rrv0tcn_44x100xs2,v0,pcff,-40,9.08559
4x1r1,rrv0tcn_44x100xs2_p,v0,pcff,-40,9.56155
4x1r1,rrv0tcn_44x100xs2_s,v0,pcff,-40,9.08559
4x1r1,rrv0tcn_64x44xs0,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_64x44xs0_p,v0,pcff,-40,22.0345
4x1r1,rrv0tcn_64x44xs0_s,v0,pcff,-40,22.0345
4x1r1,rrv0tcn_68x44xs2,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_68x44xs2p,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_68x44xs2_p,v0,pcff,-40,23.7568
4x1r1,rrv0tcn_68x44xs2p_p,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_68x44xs2p_s,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_68x44xs2_s,v0,pcff,-40,20.6491
4x1r1,rrv0tcn_68x44xs2_u,v0,pcff,-40,23.7568
4x1r1,rrv0gcn_100x44xs2,v0,pcff,25,9.39079
4x1r1,rrv0gcn_100x44xs2_p,v0,pcff,25,12.1449
4x1r1,rrv0gcn_100x44xs2_s,v0,pcff,25,10.2404
4x1r1,rrv0gcn_68x44xs2,v0,pcff,25,13.81
4x1r1,rrv0gcn_68x44xs2p,v0,pcff,25,13.81
4x1r1,rrv0gcn_68x44xs2_p,v0,pcff,25,34.6369
4x1r1,rrv0gcn_68x44xs2p_p,v0,pcff,25,31.1391
4x1r1,rrv0gcn_68x44xs2p_s,v0,pcff,25,15.8449
4x1r1,rrv0gcn_68x44xs2_s,v0,pcff,25,14.7306
4x1r1,rrv0gcn_68x44xs3p,v0,pcff,25,13.81
4x1r1,rrv0gcn_68x44xs3p_p,v0,pcff,25,31.1391
4x1r1,rrv0gcn_68x44xs3p_s,v0,pcff,25,15.8449
4x1r1,rrv0tcn_44x100xs2,v0,pcff,25,9.39079
4x1r1,rrv0tcn_44x100xs2_p,v0,pcff,25,9.88274
4x1r1,rrv0tcn_44x100xs2_s,v0,pcff,25,9.39079
4x1r1,rrv0tcn_64x44xs0,v0,pcff,25,21.3427
4x1r1,rrv0tcn_64x44xs0_p,v0,pcff,25,22.7747
4x1r1,rrv0tcn_64x44xs0_s,v0,pcff,25,22.7747
4x1r1,rrv0tcn_68x44xs2,v0,pcff,25,21.3427
4x1r1,rrv0tcn_68x44xs2p,v0,pcff,25,21.3427
4x1r1,rrv0tcn_68x44xs2_p,v0,pcff,25,24.5548
4x1r1,rrv0tcn_68x44xs2p_p,v0,pcff,25,21.3427
4x1r1,rrv0tcn_68x44xs2p_s,v0,pcff,25,21.3427
4x1r1,rrv0tcn_68x44xs2_s,v0,pcff,25,21.3427
4x1r1,rrv0tcn_68x44xs2_u,v0,pcff,25,24.5548
4x1r1,rrv0gcn_100x44xs2,v0,pcff,100,9.74294
4x1r1,rrv0gcn_100x44xs2_p,v0,pcff,100,12.6003
4x1r1,rrv0gcn_100x44xs2_s,v0,pcff,100,10.6244
4x1r1,rrv0gcn_68x44xs2,v0,pcff,100,14.3279
4x1r1,rrv0gcn_68x44xs2p,v0,pcff,100,14.3279
4x1r1,rrv0gcn_68x44xs2_p,v0,pcff,100,35.9358
4x1r1,rrv0gcn_68x44xs2p_p,v0,pcff,100,32.3068
4x1r1,rrv0gcn_68x44xs2p_s,v0,pcff,100,16.4391
4x1r1,rrv0gcn_68x44xs2_s,v0,pcff,100,15.283
4x1r1,rrv0gcn_68x44xs3p,v0,pcff,100,14.3279
4x1r1,rrv0gcn_68x44xs3p_p,v0,pcff,100,32.3068
4x1r1,rrv0gcn_68x44xs3p_s,v0,pcff,100,16.4391
4x1r1,rrv0tcn_44x100xs2,v0,pcff,100,9.74294
4x1r1,rrv0tcn_44x100xs2_p,v0,pcff,100,10.2533
4x1r1,rrv0tcn_44x100xs2_s,v0,pcff,100,9.74294
4x1r1,rrv0tcn_64x44xs0,v0,pcff,100,22.1431
4x1r1,rrv0tcn_64x44xs0_p,v0,pcff,100,23.6288
4x1r1,rrv0tcn_64x44xs0_s,v0,pcff,100,23.6288
4x1r1,rrv0tcn_68x44xs2,v0,pcff,100,22.1431
4x1r1,rrv0tcn_68x44xs2p,v0,pcff,100,22.1431
4x1r1,rrv0tcn_68x44xs2_p,v0,pcff,100,25.4756
4x1r1,rrv0tcn_68x44xs2p_p,v0,pcff,100,22.1431
4x1r1,rrv0tcn_68x44xs2p_s,v0,pcff,100,22.1431
4x1r1,rrv0tcn_68x44xs2_s,v0,pcff,100,22.1431
4x1r1,rrv0tcn_68x44xs2_u,v0,pcff,100,25.4756
4x1r1,rrv0gcn_100x44xs2,v0,pcff,125,9.86033
4x1r1,rrv0gcn_100x44xs2_p,v0,pcff,125,12.7521
4x1r1,rrv0gcn_100x44xs2_s,v0,pcff,125,10.7524
4x1r1,rrv0gcn_68x44xs2,v0,pcff,125,14.5005
4x1r1,rrv0gcn_68x44xs2p,v0,pcff,125,14.5005
4x1r1,rrv0gcn_68x44xs2_p,v0,pcff,125,36.3687
4x1r1,rrv0gcn_68x44xs2p_p,v0,pcff,125,32.6961
4x1r1,rrv0gcn_68x44xs2p_s,v0,pcff,125,16.6371
4x1r1,rrv0gcn_68x44xs2_s,v0,pcff,125,15.4671
4x1r1,rrv0gcn_68x44xs3p,v0,pcff,125,14.5005
4x1r1,rrv0gcn_68x44xs3p_p,v0,pcff,125,32.6961
4x1r1,rrv0gcn_68x44xs3p_s,v0,pcff,125,16.6371
4x1r1,rrv0tcn_44x100xs2,v0,pcff,125,9.86033
4x1r1,rrv0tcn_44x100xs2_p,v0,pcff,125,10.3769
4x1r1,rrv0tcn_44x100xs2_s,v0,pcff,125,9.86033
4x1r1,rrv0tcn_64x44xs0,v0,pcff,125,22.4098
4x1r1,rrv0tcn_64x44xs0_p,v0,pcff,125,23.9134
4x1r1,rrv0tcn_64x44xs0_s,v0,pcff,125,23.9134
4x1r1,rrv0tcn_68x44xs2,v0,pcff,125,22.4098
4x1r1,rrv0tcn_68x44xs2p,v0,pcff,125,22.4098
4x1r1,rrv0tcn_68x44xs2_p,v0,pcff,125,25.7825
4x1r1,rrv0tcn_68x44xs2p_p,v0,pcff,125,22.4098
4x1r1,rrv0tcn_68x44xs2p_s,v0,pcff,125,22.4098
4x1r1,rrv0tcn_68x44xs2_s,v0,pcff,125,22.4098
4x1r1,rrv0tcn_68x44xs2_u,v0,pcff,125,25.7825
4x1r1,rrv1_108x52xs2,v1,pcff,-40,6.59148
4x1r1,rrv1_108x52xs2_p,v1,pcff,-40,7.28695
4x1r1,rrv1_108x52xs2_s,v1,pcff,-40,6.75955
4x1r1,rrv1_108x60xs2,v1,pcff,-40,6.28388
4x1r1,rrv1_108x60xs2_p,v1,pcff,-40,6.28388
4x1r1,rrv1_108x60xs2_s,v1,pcff,-40,6.28388
4x1r1,rrv1_60x108xs2,v1,pcff,-40,6.28388
4x1r1,rrv1_60x108xs2_p,v1,pcff,-40,6.28388
4x1r1,rrv1_60x108xs2_s,v1,pcff,-40,6.28388
4x1r1,rrv1_60x44xs2,v1,pcff,-40,14.0218
4x1r1,rrv1_60x44xs2_p,v1,pcff,-40,15.5799
4x1r1,rrv1_60x44xs2_s,v1,pcff,-40,14.0218
4x1r1,rrv1_60x44xs2_u,v1,pcff,-40,16.7783
4x1r1,rrv1_60x56xs2,v1,pcff,-40,11.0172
4x1r1,rrv1_60x56xs2_p,v1,pcff,-40,11.0172
4x1r1,rrv1_60x56xs2_s,v1,pcff,-40,11.0172
4x1r1,rrv1_60x76xs2,v1,pcff,-40,8.11793
4x1r1,rrv1_60x76xs2_p,v1,pcff,-40,8.11793
4x1r1,rrv1_60x76xs2_s,v1,pcff,-40,8.11793
4x1r1,rrv1_60x90xs2,v1,pcff,-40,6.85514
4x1r1,rrv1_60x90xs2_p,v1,pcff,-40,6.85514
4x1r1,rrv1_60x90xs2_s,v1,pcff,-40,6.85514
4x1r1,rrv1_70x70xs0,v1,pcff,-40,7.34311
4x1r1,rrv1_70x70xs0_p,v1,pcff,-40,7.34311
4x1r1,rrv1_70x70xs0_s,v1,pcff,-40,7.34311
4x1r1,rrv1_76x52xs2,v1,pcff,-40,9.36684
4x1r1,rrv1_76x52xs2_p,v1,pcff,-40,10.3552
4x1r1,rrv1_76x52xs2_s,v1,pcff,-40,9.60567
4x1r1,rrv1_76x60xs2,v1,pcff,-40,8.11793
4x1r1,rrv1_76x60xs2_p,v1,pcff,-40,8.11793
4x1r1,rrv1_76x60xs2_s,v1,pcff,-40,8.11793
4x1r1,rrv1_90x52xs2,v1,pcff,-40,7.90977
4x1r1,rrv1_90x52xs2_p,v1,pcff,-40,8.74434
4x1r1,rrv1_90x52xs2_s,v1,pcff,-40,8.11145
4x1r1,rrv1_90x60xs2,v1,pcff,-40,6.85514
4x1r1,rrv1_90x60xs2_p,v1,pcff,-40,8.04242
4x1r1,rrv1_90x60xs2_s,v1,pcff,-40,8.04242
4x1r1,rrv1_108x52xs2,v1,pcff,25,6.66075
4x1r1,rrv1_108x52xs2_p,v1,pcff,25,7.36353
4x1r1,rrv1_108x52xs2_s,v1,pcff,25,6.83059
4x1r1,rrv1_108x60xs2,v1,pcff,25,6.34992
4x1r1,rrv1_108x60xs2_p,v1,pcff,25,6.34992
4x1r1,rrv1_108x60xs2_s,v1,pcff,25,6.34992
4x1r1,rrv1_60x108xs2,v1,pcff,25,6.34992
4x1r1,rrv1_60x108xs2_p,v1,pcff,25,6.34992
4x1r1,rrv1_60x108xs2_s,v1,pcff,25,6.34992
4x1r1,rrv1_60x44xs2,v1,pcff,25,14.1692
4x1r1,rrv1_60x44xs2_p,v1,pcff,25,15.7436
4x1r1,rrv1_60x44xs2_s,v1,pcff,25,14.1692
4x1r1,rrv1_60x44xs2_u,v1,pcff,25,16.9546
4x1r1,rrv1_60x56xs2,v1,pcff,25,11.133
4x1r1,rrv1_60x56xs2_p,v1,pcff,25,11.133
4x1r1,rrv1_60x56xs2_s,v1,pcff,25,11.133
4x1r1,rrv1_60x76xs2,v1,pcff,25,8.20324
4x1r1,rrv1_60x76xs2_p,v1,pcff,25,8.20324
4x1r1,rrv1_60x76xs2_s,v1,pcff,25,8.20324
4x1r1,rrv1_60x90xs2,v1,pcff,25,6.92718
4x1r1,rrv1_60x90xs2_p,v1,pcff,25,6.92718
4x1r1,rrv1_60x90xs2_s,v1,pcff,25,6.92718
4x1r1,rrv1_70x70xs0,v1,pcff,25,7.42028
4x1r1,rrv1_70x70xs0_p,v1,pcff,25,7.42028
4x1r1,rrv1_70x70xs0_s,v1,pcff,25,7.42028
4x1r1,rrv1_76x52xs2,v1,pcff,25,9.46528
4x1r1,rrv1_76x52xs2_p,v1,pcff,25,10.464
4x1r1,rrv1_76x52xs2_s,v1,pcff,25,9.70662
4x1r1,rrv1_76x60xs2,v1,pcff,25,8.20324
4x1r1,rrv1_76x60xs2_p,v1,pcff,25,8.20324
4x1r1,rrv1_76x60xs2_s,v1,pcff,25,8.20324
4x1r1,rrv1_90x52xs2,v1,pcff,25,7.9929
4x1r1,rrv1_90x52xs2_p,v1,pcff,25,8.83624
4x1r1,rrv1_90x52xs2_s,v1,pcff,25,8.1967
4x1r1,rrv1_90x60xs2,v1,pcff,25,6.92718
4x1r1,rrv1_90x60xs2_p,v1,pcff,25,8.12694
4x1r1,rrv1_90x60xs2_s,v1,pcff,25,8.12694
4x1r1,rrv1_108x52xs2,v1,pcff,100,6.74068
4x1r1,rrv1_108x52xs2_p,v1,pcff,100,7.45189
4x1r1,rrv1_108x52xs2_s,v1,pcff,100,6.91256
4x1r1,rrv1_108x60xs2,v1,pcff,100,6.42612
4x1r1,rrv1_108x60xs2_p,v1,pcff,100,6.42612
4x1r1,rrv1_108x60xs2_s,v1,pcff,100,6.42612
4x1r1,rrv1_60x108xs2,v1,pcff,100,6.42612
4x1r1,rrv1_60x108xs2_p,v1,pcff,100,6.42612
4x1r1,rrv1_60x108xs2_s,v1,pcff,100,6.42612
4x1r1,rrv1_60x44xs2,v1,pcff,100,14.3392
4x1r1,rrv1_60x44xs2_p,v1,pcff,100,15.9325
4x1r1,rrv1_60x44xs2_s,v1,pcff,100,14.3392
4x1r1,rrv1_60x44xs2_u,v1,pcff,100,17.1581
4x1r1,rrv1_60x56xs2,v1,pcff,100,11.2666
4x1r1,rrv1_60x56xs2_p,v1,pcff,100,11.2666
4x1r1,rrv1_60x56xs2_s,v1,pcff,100,11.2666
4x1r1,rrv1_60x76xs2,v1,pcff,100,8.30168
4x1r1,rrv1_60x76xs2_p,v1,pcff,100,8.30168
4x1r1,rrv1_60x76xs2_s,v1,pcff,100,8.30168
4x1r1,rrv1_60x90xs2,v1,pcff,100,7.01031
4x1r1,rrv1_60x90xs2_p,v1,pcff,100,7.01031
4x1r1,rrv1_60x90xs2_s,v1,pcff,100,7.01031
4x1r1,rrv1_70x70xs0,v1,pcff,100,7.50932
4x1r1,rrv1_70x70xs0_p,v1,pcff,100,7.50932
4x1r1,rrv1_70x70xs0_s,v1,pcff,100,7.50932
4x1r1,rrv1_76x52xs2,v1,pcff,100,9.57886
4x1r1,rrv1_76x52xs2_p,v1,pcff,100,10.5896
4x1r1,rrv1_76x52xs2_s,v1,pcff,100,9.8231
4x1r1,rrv1_76x60xs2,v1,pcff,100,8.30168
4x1r1,rrv1_76x60xs2_p,v1,pcff,100,8.30168
4x1r1,rrv1_76x60xs2_s,v1,pcff,100,8.30168
4x1r1,rrv1_90x52xs2,v1,pcff,100,8.08881
4x1r1,rrv1_90x52xs2_p,v1,pcff,100,8.94227
4x1r1,rrv1_90x52xs2_s,v1,pcff,100,8.29506
4x1r1,rrv1_90x60xs2,v1,pcff,100,7.01031
4x1r1,rrv1_90x60xs2_p,v1,pcff,100,8.22446
4x1r1,rrv1_90x60xs2_s,v1,pcff,100,8.22446
4x1r1,rrv1_108x52xs2,v1,pcff,125,6.76732
4x1r1,rrv1_108x52xs2_p,v1,pcff,125,7.48135
4x1r1,rrv1_108x52xs2_s,v1,pcff,125,6.93988
4x1r1,rrv1_108x60xs2,v1,pcff,125,6.45152
4x1r1,rrv1_108x60xs2_p,v1,pcff,125,6.45152
4x1r1,rrv1_108x60xs2_s,v1,pcff,125,6.45152
4x1r1,rrv1_60x108xs2,v1,pcff,125,6.45152
4x1r1,rrv1_60x108xs2_p,v1,pcff,125,6.45152
4x1r1,rrv1_60x108xs2_s,v1,pcff,125,6.45152
4x1r1,rrv1_60x44xs2,v1,pcff,125,14.3959
4x1r1,rrv1_60x44xs2_p,v1,pcff,125,15.9955
4x1r1,rrv1_60x44xs2_s,v1,pcff,125,14.3959
4x1r1,rrv1_60x44xs2_u,v1,pcff,125,17.2259
4x1r1,rrv1_60x56xs2,v1,pcff,125,11.3111
4x1r1,rrv1_60x56xs2_p,v1,pcff,125,11.3111
4x1r1,rrv1_60x56xs2_s,v1,pcff,125,11.3111
4x1r1,rrv1_60x76xs2,v1,pcff,125,8.33449
4x1r1,rrv1_60x76xs2_p,v1,pcff,125,8.33449
4x1r1,rrv1_60x76xs2_s,v1,pcff,125,8.33449
4x1r1,rrv1_60x90xs2,v1,pcff,125,7.03801
4x1r1,rrv1_60x90xs2_p,v1,pcff,125,7.03801
4x1r1,rrv1_60x90xs2_s,v1,pcff,125,7.03801
4x1r1,rrv1_70x70xs0,v1,pcff,125,7.539
4x1r1,rrv1_70x70xs0_p,v1,pcff,125,7.539
4x1r1,rrv1_70x70xs0_s,v1,pcff,125,7.539
4x1r1,rrv1_76x52xs2,v1,pcff,125,9.61672
4x1r1,rrv1_76x52xs2_p,v1,pcff,125,10.6314
4x1r1,rrv1_76x52xs2_s,v1,pcff,125,9.86193
4x1r1,rrv1_76x60xs2,v1,pcff,125,8.33449
4x1r1,rrv1_76x60xs2_p,v1,pcff,125,8.33449
